symbol,company_name,industry,sector,city,latitude,longitude,state,country
NI,NiSource Inc.,Utilities - Regulated Gas,Utilities,Merrillville,41.4828144,-87.3328139,IN,United States
UHS,Universal Health Services Inc.,Medical Care Facilities,Healthcare,King of Prussia,40.09476245,-75.38513336,PA,United States
ALGN,Align Technology Inc.,Medical Instruments & Supplies,Healthcare,Tempe,33.4255117,-111.940016,AZ,United States
MOH,Molina Healthcare Inc.,Healthcare Plans,Healthcare,Long Beach,33.7690164,-118.191604,CA,United States
PNR,Pentair plc,Specialty Industrial Machinery,Industrials,London,51.507351,-0.127758,NaN,United Kingdom
MAS,Masco Corporation,Building Products & Equipment,Industrials,Livonia,42.36837,-83.3527097,MI,United States
JBHT,J.B. Hunt Transport Services Inc.,Integrated Freight & Logistics,Industrials,Lowell,36.2553543,-94.1307587,AR,United States
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,Healthcare,Secaucus,40.7899291,-74.0566735,NJ,United States
HRL,Hormel Foods Corporation,Packaged Foods,Consumer Staples,Austin,43.6679992,-92.9746498,MN,United States
GEN,Gen Digital Inc.,Software - Infrastructure,Technology,Tempe,33.4255117,-111.940016,AZ,United States
OMC,Omnicom Group Inc.,Advertising Agencies,Communication Services,New York,40.7127281,-74.0060152,NY,United States
TPR,Tapestry Inc.,Luxury Goods,Consumer Discretionary,New York,40.7127281,-74.0060152,NY,United States
BEN,Franklin Resources Inc.,Asset Management,Financial Services,San Mateo,37.496904,-122.3330573,CA,United States
IEX,IDEX Corporation,Specialty Industrial Machinery,Industrials,Northbrook,42.128704,-87.8265089,IL,United States
CF,CF Industries Holdings Inc.,Agricultural Inputs,Materials,Northbrook,42.128704,-87.8265089,IL,United States
BAX,Baxter International Inc.,Medical Instruments & Supplies,Healthcare,Deerfield,42.1711365,-87.8445119,IL,United States
NWS,News Corporation,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
BALL,Ball Corporation,Packaging & Containers,Consumer Discretionary,Westminster,39.8366528,-105.0372046,CO,United States
GPC,Genuine Parts Company,Auto Parts,Consumer Discretionary,Atlanta,33.7489924,-84.3902644,GA,United States
MRNA,Moderna Inc.,Biotechnology,Healthcare,Cambridge,42.3656347,-71.1040018,MA,United States
EXPD,Expeditors International of Washington Inc.,Integrated Freight & Logistics,Industrials,Seattle,47.6038321,-122.330062,WA,United States
FFIV,F5 Inc.,Software - Infrastructure,Technology,Seattle,47.6038321,-122.330062,WA,United States
HOLX,Hologic Inc.,Medical Instruments & Supplies,Healthcare,Marlborough,42.3459271,-71.5522874,MA,United States
RL,Ralph Lauren Corporation,Apparel Manufacturing,Consumer Discretionary,New York,40.7127281,-74.0060152,NY,United States
NWSA,News Corporation,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
DG,Dollar General Corporation,Discount Stores,Consumer Staples,Goodlettsville,36.3231067,-86.7133302,TN,United States
BF.B,Brown-Forman Corporation,Beverages - Wineries & Distilleries,Consumer Staples,Louisville,38.2542376,-85.759407,KY,United States
EG,Everest Group Ltd.,Insurance - Reinsurance,Financial Services,Hamilton,32.294816,-64.781375,NaN,Bermuda
AVY,Avery Dennison Corporation,Packaging & Containers,Consumer Discretionary,Mentor,41.6664781,-81.3399769,OH,United States
DPZ,Domino's Pizza Inc.,Restaurants,Consumer Discretionary,Ann Arbor,42.2813722,-83.7484616,MI,United States
KIM,Kimco Realty Corporation,REIT - Retail,Real Estate,Jericho,40.78743,-73.54346082,NY,United States
DLTR,Dollar Tree Inc.,Discount Stores,Consumer Staples,Chesapeake,36.7168315,-76.2494453,VA,United States
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,Madison,43.074761,-89.3837613,WI,United States
UDR,UDR Inc.,REIT - Residential,Real Estate,Highlands Ranch,39.5497243,-104.969565,CO,United States
APTV,Aptiv PLC,Auto Parts,Consumer Discretionary,Dublin,53.35014,-6.266155,NaN,Ireland
RVTY,Revvity Inc.,Diagnostics & Research,Healthcare,Waltham,42.3756401,-71.2358004,MA,United States
SWKS,Skyworks Solutions Inc.,Semiconductors,Technology,Irvine,33.6856969,-117.825981,CA,United States
DOC,Healthpeak Properties Inc.,REIT - Healthcare Facilities,Real Estate,Denver,39.7392364,-104.984862,CO,United States
TXT,Textron Inc.,Aerospace & Defense,Industrials,Providence,41.8239891,-71.4128343,RI,United States
AKAM,Akamai Technologies Inc.,Software - Infrastructure,Technology,Cambridge,42.3656347,-71.1040018,MA,United States
AMCR,Amcor plc,Packaging & Containers,Consumer Discretionary,Zurich,47.376887,8.541694,NaN,Switzerland
INCY,Incyte Corporation,Biotechnology,Healthcare,Wilmington,39.7459468,-75.546589,DE,United States
DVA,DaVita Inc.,Medical Care Facilities,Healthcare,Denver,39.7392364,-104.984862,CO,United States
EPAM,EPAM Systems Inc.,Information Technology Services,Technology,Newtown,40.2294046,-74.9365329,PA,United States
ENPH,Enphase Energy Inc.,Solar,Technology,Fremont,37.5482697,-121.988571,CA,United States
POOL,Pool Corporation,Industrial Distribution,Industrials,Covington,30.4753525,-90.1010474,LA,United States
SWK,Stanley Black & Decker Inc.,Tools & Accessories,Industrials,New Britain,41.6612104,-72.7795419,CT,United States
VTRS,Viatris Inc.,Drug Manufacturers - Specialty & Generic,Healthcare,Canonsburg,40.2588431,-80.186732,PA,United States
